from_id,to_id,row,col,t_enter,t_exit,terrain_m
O01,S002,607,790,0.7677865563,0.7722800626,205.7431183
O01,S002,606,790,0.7722800626,0.77650743,190.2815399
O01,S002,606,791,0.77650743,0.776773569,172.7207489
O01,S002,605,791,0.776773569,0.7812670753,169.7941589
O01,S002,604,791,0.7812670753,0.7857605817,170.9226532
O01,S002,603,791,0.7857605817,0.7865354362,171.5402832
O01,S002,603,792,0.7865354362,0.790254088,191.3930969
O01,S002,602,792,0.790254088,0.7947475944,196.1396332
O01,S002,601,792,0.7947475944,0.7965634424,200.7412415
O01,S002,601,793,0.7965634424,0.7992411007,219.0249023
O01,S002,600,793,0.7992411007,0.803734607,227.8592072
O01,S002,599,793,0.803734607,0.8065914486,223.1608582
O01,S002,599,794,0.8065914486,0.8082281134,234.1239777
O01,S002,598,794,0.8082281134,0.8127216197,233.596405
O01,S002,597,794,0.8127216197,0.8166194548,246.0426941
O01,S002,597,795,0.8166194548,0.8172151261,239.5582428
O01,S002,596,795,0.8172151261,0.8217086324,246.0722504
O01,S002,595,795,0.8217086324,0.8262021388,251.9911957
O01,S002,594,795,0.8262021388,0.826647461,258.3594666
O01,S002,594,796,0.826647461,0.8306956451,246.0419159
O01,S002,593,796,0.8306956451,0.8351891515,253.0184784
O01,S002,592,796,0.8351891515,0.8366754672,252.2349854
O01,S002,592,797,0.8366754672,0.8396826578,254.3200073
O01,S002,591,797,0.8396826578,0.8441761641,258.9542542
O01,S002,590,797,0.8441761641,0.8467034735,247.1585693
O01,S002,590,798,0.8467034735,0.8486696705,257.1233521
O01,S002,589,798,0.8486696705,0.8531631768,240.9429016
O01,S002,588,798,0.8531631768,0.8567314797,222.457901
O01,S002,588,799,0.8567314797,0.8576566832,216.6061401
O01,S002,587,799,0.8576566832,0.8621501895,198.4887695
O01,S002,586,799,0.8621501895,0.8666436959,197.125412
O01,S002,585,799,0.8666436959,0.8667594859,204.6483307
O01,S002,585,800,0.8667594859,0.8711372022,217.1674347
O01,S002,584,800,0.8711372022,0.8756307086,207.1219635
O01,S002,583,800,0.8756307086,0.8767874921,213.232666
O01,S002,583,801,0.8767874921,0.8801242149,212.5000305
O01,S002,582,801,0.8801242149,0.8846177212,222.3189392
O01,S002,581,801,0.8846177212,0.8868154983,226.7363586
O01,S002,581,802,0.8868154983,0.8891112276,242.9926453
O01,S002,580,802,0.8891112276,0.8936047339,238.7548065
O01,S002,579,802,0.8936047339,0.8968435045,227.318924
O01,S002,579,803,0.8968435045,0.8980982403,237.7615356
O01,S002,578,803,0.8980982403,0.9025917466,235.0788422
O01,S002,577,803,0.9025917466,0.9068715108,242.8385162
O01,S002,577,804,0.9068715108,0.907085253,254.4614868
O01,S002,576,804,0.907085253,0.9115787593,243.5196838
O01,S002,575,804,0.9115787593,0.9160722656,234.5217285
O01,S002,574,804,0.9160722656,0.916899517,237.8499756
O01,S002,574,805,0.916899517,0.920565772,237.217514
O01,S002,573,805,0.920565772,0.9250592783,235.2393951
O01,S002,572,805,0.9250592783,0.9269275232,245.9491882
O01,S002,572,806,0.9269275232,0.9295527847,244.1605835
O01,S002,571,806,0.9295527847,0.934046291,257.6098022
O01,S002,570,806,0.934046291,0.9369555294,251.0462189
O01,S002,570,807,0.9369555294,0.9385397974,255.7018433
O01,S002,569,807,0.9385397974,0.9430333037,245.0295715
O01,S002,568,807,0.9430333037,0.9469835356,229.4768219
O01,S002,568,808,0.9469835356,0.9475268101,230.4301147
O01,S002,567,808,0.9475268101,0.9520203164,234.2055359
O01,S002,566,808,0.9520203164,0.9565138227,252.1118317
O01,S002,565,808,0.9565138227,0.9570115418,256.583252
O01,S002,565,809,0.9570115418,0.9610073291,249.5429077
O01,S002,564,809,0.9610073291,0.9655008354,243.5061188
O01,S002,563,809,0.9655008354,0.967039548,234.0436401
O01,S002,563,810,0.967039548,0.9699943418,234.0133514
O01,S002,562,810,0.9699943418,0.9744878481,215.4374237
O01,S002,561,810,0.9744878481,0.9770675543,194.5777893
O01,S002,561,811,0.9770675543,0.9789813545,192.9124451
O01,S002,560,811,0.9789813545,0.9834748608,198.1140289
O01,S002,559,811,0.9834748608,0.9870955605,203.7529449
O01,S002,559,812,0.9870955605,0.9879683672,203.821991
O01,S002,558,812,0.9879683672,0.9924618735,190.1125946
O01,S002,557,812,0.9924618735,0.9969553798,188.1965485
O01,S002,556,812,0.9969553798,0.9971235667,190.247406
O01,S002,556,813,0.9971235667,1,188.7942352
O01,S003,778,713,0,0.0025366295,128.7255402
O01,S003,778,712,0.0025366295,0.007017357084,126.9617996
O01,S003,778,711,0.007017357084,0.007571965153,128.5595093
O01,S003,777,711,0.007571965153,0.01149808467,129.9981079
O01,S003,777,710,0.01149808467,0.01597881225,129.4473267
O01,S003,777,709,0.01597881225,0.01631759365,128.8667755
O01,S003,776,709,0.01631759365,0.02045953984,127.1460419
